"team_id","team_name","team_tag"
"39","Evil Geniuses","EG"
"15","PSG.LGD","PSG.LGD"
"1883502","Virtus.pro","VP"
"7390454","Quincy Crew","QCY"
"5","INVICTUS GAMING","IG"
"8214850","T1","T1"
"726228","Vici Gaming","VG"
"1838315","Team Secret","Secret"
"6209166","Team Aster","Aster"
"111474","Alliance","Alliance"
"8254400","beastcoast","bc"
"7391077","Thunder Predator","ThunderP"
"8260983","Undying","UND"
"8255756","SG esports","SG"
"2586976","OG","OG"
"7119388","Team Spirit","TSpirit"
"8204512","Elephant","Elephant"
"350190","Fnatic","Fnatic"
